카드번호	카드타입	해외 결제 브랜드	회원번호	 카드포인트 
4147042250996109541	1	1	1	 1,018 
5469026510707507532	1	2	4	 151 
6235076180893504397	1	3	2	 0 
4555033360711606819	1	1	3	 4,392 
4274055430147003247	4	1	2	 330 
4656069240789005972	4	1	3	 45 
6171057630122908413	4	3	1	 5,120 
6133065740457108528	4	3	4	 7,144 
4653073800389809402	2	1	6	 340 
6257097240323706002	2	3	5	 2,490 
4554029480249504347	5	1	5	 978 
3543018420495501241	5	5	6	 8,089 
5491000000741908591	5	3	7	 36 
5417087520936108220	5	3	8	 9,443 
5492078450399803945	1	2	7	 3,710 
4459086010550300106	6	1	8	 20,677 
4664066670954208363	7	1	9	 9,186 
4289012000317800611	7	1	11	 7,191 
4508092020252608942	7	1	10	 8,754 
4152014390352202074	7	1	12	 9,539 
4228097020427608736	8	1	10	 8,091 
4501015210447107041	8	1	11	 4,228 
4291040170646305521	8	1	9	 5,046 
4915005360154404711	9	1	12	 1,687 
5477096840287201952	9	2	13	 4,130 
5446095300158004616	9	2	13	 3,611 
5411070050949608736	9	2	14	 396 
5430086740072605693	9	2	15	 1,348 
4894082260699605561	10	1	14	 4,586 
6110071490955500819	11	5	15	 2,270 
4318048650100107994	12	1	16	 50,402 
4998012730459305282	13	1	17	 1,099,993 
4703038980602009528	16	1	17	 6,291 
4338067700655200395	16	1	16	 1,764 
4778064290654903344	16	1	18	 7,398 
4277057920757408124	16	1	19	 4,328 
6258020580977601010	16	3	20	 410 
6167043830595105692	16	5	24	 2,336 
6112018640708907656	16	5	21	 1,409 
6162053920894304871	16	5	22	 1,572 
4622024640100003115	18	1	22	 5,062 
4697043630141005878	18	1	21	 5,344 
4197023620620708944	18	1	23	 4,093 
4980080540180707526	18	1	20	 5,772 
4357061050467607394	18	1	25	 7,549 
4251001130111908796	19	1	26	 1,917 
4528050020561503481	19	1	27	 1,821 
4897081590182207180	23	1	28	 8,479 
4438014130161602357	23	1	29	 796 
9590000220780502528	25	6	29	 4,462 
9672095770441307030	25	6	28	 3,916 
4779036380269302096	26	1	27	 1,514 
6298002940492002348	26	3	26	 152,423 
6238016300415301561	26	3	30	 11,652 
4668010530224609525	26	1	30	 67,158 
5488038360343007070	27	2	31	 6,950 
4764022890409802693	27	1	31	 1,689 
4124019930455800867	5	1	32	 3,064 
6295054570534702048	4	3	19	 6,158 
4754011900063302830	4	1	33	 1,586 
6198009420691409784	4	5	34	 9,558 
4139094640924209270	4	1	35	 8,167 
4508011330615602050	4	1	36	 896 
4304057590012200163	4	1	37	 6,664 
4278062830999802400	4	1	38	 5,103 
5449010260393100534	3	2	39	 6,207 
4405072740358607453	1	1	39	 2,456 
4291068930528008183	1	1	37	 3,210 
4316075050071100172	1	1	36	 3,470 
4285064300744807615	1	1	32	 1,039 
5445062600192309876	1	2	18	 4,293 
4135084860917904774	1	1	2	 0 
