번호	일시	회원번호	출금계좌	입금계좌	카드번호	상품번호	 금액 	결제여부	할부여부
1	2021-08-01 2:01	3			4656-6924-7890-5972	46	 7,179,207 	0	3
2	2021-08-01 4:03	18	361-6239-6771-74	341-4252-6227-25			 366,000 	1	1
3	2021-08-01 4:48	28			4897-8159-1822-7180	5	 28,061 	0	1
4	2021-08-01 10:02	33			4754-1190-0633-2830	10	 29,738 	0	2
5	2021-08-01 13:13	14			5411-7005-9496-8736	73	 36,159 	0	6
6	2021-08-01 19:42	5			4554-2948-2495-4347	6	 11,429 	0	3
7	2021-08-02 1:03	5			4554-2948-2495-4347	14	 15,090 	0	0
8	2021-08-02 1:25	6			3543-1842-4955-1241	10	 30,027 	0	2
9	2021-08-02 2:11	39			5449-1026-3931-0534	86	 557,235 	0	0
10	2021-08-02 12:11	36			4316-7505-0711-0172	16	 102,861 	0	1
11	2021-08-02 12:17	6			4653-7380-3898-9402	35	 7,657,700 	0	6
12	2021-08-03 1:23	27	936-2290-8624-49	726-2721-8040-22			 439,000 	1	1
13	2021-08-03 2:03	29	912-5362-8400-40	727-4840-1873-72			 168,000 	1	1
14	2021-08-03 3:34	8			5417-8752-9361-8220	47	 68,055 	0	3
15	2021-08-03 13:09	11	334-3767-4066-78	929-4063-3868-55			 304,000 	1	1
16	2021-08-03 15:59	26			4251-0113-1119-8796	71	 1,199,000 	0	0
17	2021-08-03 16:30	11			4289-1200-3178-0611	19	 27,169 	0	2
18	2021-08-03 16:33	14	345-4597-6745-54	366-8225-8987-92			 447,000 	1	1
19	2021-08-03 19:55	4	332-6011-8447-16	756-5480-7149-24			 313,000 	1	1
20	2021-08-04 2:45	33			4754-1190-0633-2830	50	 10,290 	0	3
21	2021-08-04 7:04	33			4754-1190-0633-2830	5	 28,061 	0	5
22	2021-08-04 11:41	21	929-4063-3868-55	367-9321-8465-58			 61,000 	1	1
23	2021-08-04 15:55	15			5430-8674-0726-5693	41	 1,930,584 	0	12
24	2021-08-04 19:03	26			4251-0113-1119-8796	33	 5,947,300 	0	0
25	2021-08-04 20:26	13	925-1034-4109-99	352-1194-2322-33			 300,000 	1	1
26	2021-08-05 2:18	14			5411-7005-9496-8736	50	 10,290 	0	2
27	2021-08-05 8:09	15	357-8036-3099-97	385-9060-3453-33			 480,000 	1	1
28	2021-08-05 8:12	5			6257-9724-3237-6002	34	 78,675 	0	5
29	2021-08-05 9:49	6			3543-1842-4955-1241	29	 75,847 	0	4
30	2021-08-05 14:54	20	756-8530-4608-45	770-9014-8303-76			 70,000 	1	1
31	2021-08-05 14:56	38			4278-6283-9998-2400	63	 14,140 	0	0
32	2021-08-05 15:17	26	727-4840-1873-72	364-4162-6207-46			 130,000 	1	1
33	2021-08-05 21:53	4			6133-6574-4571-8528	74	 2,590,919 	0	12
34	2021-08-06 1:54	3	341-4252-6227-25	352-1194-2322-33			 458,000 	1	1
35	2021-08-06 2:05	36			4316-7505-0711-0172	39	 1,587,018 	0	12
36	2021-08-06 4:47	13	925-1034-4109-99	999-5457-3430-92			 251,000 	1	1
37	2021-08-06 5:13	10	393-1754-8216-13	727-4840-1873-72			 4,880 	1	1
38	2021-08-06 9:35	24			6167-4383-5951-5692	76	 46,768 	0	6
39	2021-08-06 14:12	37	999-5457-3430-92	393-1754-8216-13			 161,000 	1	1
