번호	아이디	비밀번호	이름	생년월일	2차 비밀번호	주소	휴대폰번호	계좌번호	  잔고  
1	user01	user0101!	강강추	1986-09-01	896971	충청북도 청주시 강추군 강강추로1길	010-5213-4166	352-1194-2322-33	 954,636,995 
2	user02	user0202!	김강추	2004-07-20	876298	충북 영동군 상촌면 민주지산로 2990-1	010-3333-5030	322-2832-1821-42	 2,552,816 
3	user03	user0303!	감강추	1980-04-01	565509	충북 영동군 영동읍 계산로3길 9-22	010-3466-1130	341-4252-6227-25	 2,894,000 
4	user04	user0404!	이석준	1988-02-11	102864	충북 영동군 심천면 옥계폭포길 144	010-8354-9680	332-6011-8447-16	 1,798,938 
5	user05	user0505!	강예준	1999-07-23	254346	충북 영동군 황간면 남성2길 5	010-3539-4843	722-6629-4735-98	 37,708,530 
6	user06	user0606!	이도윤	1987-12-16	839240	충북 영동군 상촌면 민주지산로 3023	010-7004-7056	978-9587-6101-14	 2,829,500 
7	user07	user0707!	이시우	1991-03-21	258192	충북 영동군 영동읍 영동천2길 61	010-7333-6844	385-9060-3453-33	 24,867,973 
8	user08	user0808!	최주원	1987-06-28	823667	충북 영동군 영동읍 중앙로6길 14-2	010-4941-1914	757-6292-9320-88	 5,921,330 
9	user09	user0909!	김하준	1991-07-09	010746	충북 영동군 영동읍 중앙로3길 9	010-1965-9115	974-7704-9329-82	 8,474,200 
10	user10	user1010!	김지호	2002-02-18	818477	충북 영동군 영동읍 난계로 1108	010-4711-2706	393-1754-8216-13	 5,609,240 
11	user11	user1111!	이지후	1986-05-05	340638	충북 영동군 영동읍 영동황간로 478	010-1610-6931	334-3767-4066-78	 2,885,050 
12	user12	user1212!	이준서	1980-09-06	846118	충북 영동군 영동읍 홍산로 57	010-4244-7993	768-8913-5359-57	 3,507,500 
13	user13	user1313!	박준이	1981-05-08	442183	충북 영동군 영동읍 기정로 2안길 28	010-3501-4853	925-1034-4109-99	 3,819,600 
14	user14	user1414!	박준우	2006-01-06	599763	경북 청도군 청도읍 한재로 382	010-1836-1311	345-4597-6745-54	 4,217,500 
15	user15	user1515!	박현우	1990-10-21	994163	충북 영동군 양강면 시안1길 5	010-9596-4123	357-8036-3099-97	 5,751,100 
16	user16	user1616!	강현우	1993-04-12	446633	충북 영동군 황간면 하포발3길 2-1	010-1617-2381	796-5190-4893-31	 3,144,100 
17	user17	user1717!	이도현	1984-02-02	167410	충북 영동군 용산면 구촌1길 1	010-8974-6577	973-6867-5147-23	 6,868,300 
18	user18	user1818!	이지훈	2006-12-10	807744	충북 영동군 영동읍 계산로4길 11-9	010-4243-6848	361-6239-6771-74	 68,900 
19	user19	user1919!	노서연	2008-03-04	330928	충북 영동군 영동읍 중앙로2길 6-8	010-1809-3747	375-9870-7786-58	 822,100 
20	user20	user2020!	최서윤	1997-01-14	676219	강원도 삼척시 새천년도로 607 (갈천동)	010-2849-2248	756-8530-4608-45	 5,259,600 
21	user21	user2121!	문서윤	1986-06-04	951310	강원도 삼척시 중앙시장길 48-55 (남양동) 2층	010-7171-9352	929-4063-3868-55	 381,521,120 
22	user22	user2222!	민지우	2003-09-23	728121	충청북도 청주 청원구 오창읍 중심상업1로 50	010-4950-6111	367-9321-8465-58	 10,615,900 
23	user23	user2323!	박민서	1989-11-13	590141	강원도 삼척시 청석로 1길 10-29 (교동)	010-6422-8609	742-3245-6777-81	 93,400 
24	user24	user2424!	이하은	2004-01-05	985973	충청북도 청주 흥덕구 가경동 1455-5	010-2646-5413	997-5447-9620-11	 7,679,600 
25	user25	user2525!	최지유	1981-05-23	134692	충청북도 청주 상당로59번길 37-2	010-3032-4308	366-6150-8195-42	 960,000 
26	user26	user2626!	최지민	2003-01-02	567218	충청북도 청주 서문동 65-2	010-7921-7854	727-4840-1873-72	 66,746,280 
27	user27	user2727!	이채원	1983-05-07	190328	충청북도 청주 성내로118번길 1	010-4033-5556	936-2290-8624-49	 3,644,690 
28	user28	user2828!	박은서	2005-02-16	007080	충청북도 청주시 흥덕구 가경동 666	010-7293-9504	777-6389-6356-29	 8,975,500 
29	user29	user2929!	홍수아	1987-07-22	014306	충청북도 청주 용정동 407	010-7958-4573	912-5362-8400-40	 9,442,400 
30	user30	user3030!	최서영	1997-06-04	150249	충청북도 청주 상당로59번길 37-2	010-6851-8468	778-5257-5904-20	 1,799,100 
31	user31	user3131!	박민지	2004-08-08	427268	강원도 삼척시 원당로 2길 69(원당동)	010-4246-3803	990-1478-5088-69	 8,470,600 
32	user32	user3232!	최예진	2006-04-19	951908	충청북도 청주 사운로 233	010-2585-2945	366-8225-8987-92	 8,421,200 
33	user33	user3333!	최가은	1998-04-15	059526	충청북도 청주 대농로 43	010-9941-2802	726-2721-8040-22	 5,574,800 
34	user34	user3434!	전유나	1998-06-19	526764	충청북도 청주 대농로 43	010-3994-6586	993-1926-9908-71	 42,203,230 
35	user35	user3535!	전시은	1983-12-27	976777	충청북도 청주 우암로 71-1	010-1704-6877	364-4162-6207-46	 8,338,800 
36	user36	user3636!	이하린	1999-08-21	978018	충청북도 청주 풍산로 15 Sachang-dong	010-7933-8305	756-5480-7149-24	 2,756,320 
37	user37	user3737!	김은우	2006-12-24	883213	충청북도 청주 대신로 76	010-7076-2808	999-5457-3430-92	 9,495,100 
38	user38	user3838!	김준혁	2010-11-12	273036	충청북도 청주 수암로36번길 21-4	010-4726-8061	339-3762-6396-54	 9,339,900 
39	user39	user3939!	송유찬	1995-05-22	293452	강원도 삼척시 새천년도로 55 정하동	010-9244-9038	770-9014-8303-76	 3,537,700 
40	user40	user4040!	오민성	1990-04-13	473638	강원도 삼척시 중앙시장2길 22-45 (남양동)	010-6059-2655	988-6703-4692-47	 4,261,900 
									
