ma_no	division	recipient	sender	title	detail	date	read
1	2	93	1	오티오입니다.	안녕하세요, 오티오입니다. 오티오일원이 되신 것을 축하드립니다. 오티오 일정 및 참고 사항은 아래와 같습니다.	2021-07-01	0
2	2	99	4	[올북스]	[올북스] 서류합격을 축하드리며 홈페이지 '지원결과확인'에서 면접일 선택바랍니다.	2021-07-01	0
3	1	26	64	지원합니다.	책임감과 성실함을 겸비한 준비된 인재입니다. / 이름 : 이재욱 / 성별 : 여 / 최종학력 : 대학교 재학 / 이메일 : jaeuk@empal.com	2021-07-01	1
4	2	13	17	배스킨라빈스입니다.	채형원님 안녕하세요. 배스킨라빈스입니다. 면접이 완료되었으며 채용을 검토할 예정입니다. 최종결과는 가까운 시일안에 연락드리도록 하겠습니다. 감사합니다.	2021-07-03	0
5	2	16	12	스타벅스입니다.	전형우님 안녕하세요. 스타벅스입니다. 면접이 완료되었으며 채용을 검토할 예정입니다. 최종결과는 가까운 시일안에 연락드리도록 하겠습니다. 감사합니다.	2021-07-03	0
6	2	23	13	안녕하십니까, 한신포차 채용팀입니다.	합격를 축하드리며, 한신포차에 지원주셔서 감사드립니다.	2021-07-03	0
7	2	88	5	동광문구완구교재사	안녕하십니까, 서병주님 동광문구완구교재사 채용팀입니다. 귀하의 귀중한 시간과 노력을 투자해 주신 점 진심으로 감사 드립니다. 안타깝게도 서병주님을 모실 수 없게 되었습니다.	2021-07-03	0
8	2	22	4	안녕하세요. 투썸플레이스입니다.	안녕하세요 투썸플레이스입니다. 우선 오늘 면접 참석해주셔서 감사합니다. 면접 합격하시어 채용 진행하고자 하는데 6/30일부터 근무 가능하신지 여쭤보고자 연락 드렸어요!	2021-07-04	1
9	1	11	36	지원합니다.	다양한 아르바이트 경험을 지닌 인재입니다. / 이름 : 김은숙 / 성별 : 여 / 최종학력 : 대학교 휴학 / 이메일 : eunsuk@gmail.com	2021-07-04	1
10	1	21	92	지원합니다.	열정과 체력이 준비된 인재입니다. / 이름 : 주단태 / 성별 : 남 / 최종학력 : 대학교 졸업 / 이메일 : cantae@nate.com	2021-07-04	1
11	2	54	19	블랙다이아 결과를 알려드립니다.	블랙다이아입니다. 다수의 분들과 아르바이트면접 결과 합께 일하지 못함을 유감스럽게 생각합니다. 귀하의 권투를 기원합니다.	2021-07-05	1
12	1	24	112	지원합니다.	적극적인 자세로 업무에 임하겠습니다. / 이름 : 진예은 / 성별 : 여 / 최종학력 : 대학교 졸업 / 이메일 : yeeun@naver.com	2021-07-06	0
13	2	68	8	안녕하십니까, 000님 맥주창고 채용팀입니다.	안녕하십니까, 이만호님 맥주창고 채용팀입니다. 귀하의 귀중한 시간과 노력을 투자해 주신 점 진심으로 감사 드립니다. 안타깝게도 이만호님을 모실 수 없게 되었습니다.	2021-07-07	0
14	2	92	24	윈디그라스입니다.	안녕하세요, 윈디그라스입니다. 윈디그라스일원이 되신 것을 축하드립니다. 윈디그라스 일정 및 참고 사항은 아래와 같습니다.	2021-07-07	1
15	1	21	77	지원합니다.	열정과 체력이 준비된 인재입니다. / 이름 : 주단태 / 성별 : 남 / 최종학력 : 대학교 졸업 / 이메일 : cantae@nate.com	2021-07-08	1
16	1	10	67	지원합니다.	긍정의 에너지를 가지고 열심히 하겠습니다. / 이름 : 양종훈 / 성별 : 여 / 최종학력 : 대학교 졸업 / 이메일 : jonghun@empal.com	2021-07-09	0
17	1	12	99	지원합니다.	최선을 다하며 즐겁게 알바하겠습니다. / 이름 : 전형우 / 성별 : 여 / 최종학력 : 대학교 졸업 / 이메일 : hyeongu@yahoo.com	2021-07-09	1
18	1	22	7	지원합니다.	열정과 체력이 준비된 인재입니다. / 이름 : 주단태 / 성별 : 남 / 최종학력 : 대학교 졸업 / 이메일 : cantae@nate.com	2021-07-09	1
19	2	2	30	CU입니다.	오윤희님 안녕하세요. CU입니다. 면접이 완료되었으며 채용을 검토할 예정입니다. 최종결과는 가까운 시일안에 연락드리도록 하겠습니다. 감사합니다.	2021-07-10	1
20	2	101	18	[평화약국]	[평화약국] 서류합격을 축하드리며 홈페이지 '지원결과확인'에서 면접일 선택바랍니다.	2021-07-10	1
21	1	1	97	지원합니다.	넘치는 열정으로 누구보다 잘할 자신있습니다. / 이름 : 강솔 / 성별 : 여 / 최종학력 : 대학교 졸업 / 이메일 : sol123@naver.com	2021-07-11	0
22	2	100	24	[김제중고서점]	[김제중고서점] 서류합격을 축하드리며 홈페이지 '지원결과확인'에서 면접일 선택바랍니다.	2021-07-11	1
23	1	7	41	지원합니다.	친절함으로 똘똘뭉친 센스있는 알바생입니다. / 이름 : 조예범 / 성별 : 남 / 최종학력 : 대학교 재학 / 이메일 : yebeom@yahoo.com	2021-07-11	0
24	1	13	22	지원합니다.	긍정의 에너지를 가지고 열심히 하겠습니다. / 이름 : 이근태 / 성별 : 남 / 최종학력 : 대학교 재학 / 이메일 : geuntae@kebi.com	2021-07-11	0
