c_no	number	name	d_no	entrepreneur	phone	detail	address
1	368-32-35154	CGV	15	김탄	010-6255-5549	영화관 운영업	인천광역시 남동구 남동대로410번길 61 (남촌동)
2	352-49-43761	CU	9	차은상	010-2476-4252	편의점 운영	경상북도 영양군 영양읍 시장2길 19 (영양읍, 이다움파크) 
3	128-66-34362	GS25	9	최영도	010-8594-9759	편의점 운영	경상북도 영덕군 영덕읍 영덕로 146-7 (영덕읍) 
4	979-79-59145	LUSH	17	이보나	010-9374-4958	판매	경상북도 문경시 영신3길 22-1 (영신동) 
5	751-14-35115	갤러리아백화점	7	윤찬영	010-4322-8873	백화점	경기도 성남시 분당구 대왕판교로395번길 4 (백현동, 라비앙스빌(Revien-s Ville))
6	824-82-36389	나이키	17	김지원	010-7891-6162	스포츠 의류, 스포츠용품 도매	세종특별자치시 금남면 용포로 94-1
7	624-71-86426	네네치킨	3	강하늘	010-8338-5413	치킨집 운영업	경기도 의정부시 신흥로 185-13 (의정부동, 홍익빌라6차) 
8	435-99-94181	던킨도너츠	5	조명수	010-6548-2598	커피&도넛	인천광역시 부평구 신트리로6번길 3-2 (부평동) 
9	349-73-14523	라라블라	17	강예솔	010-2118-7352	프렌차이즈	울산광역시 북구 화암14길 70-1 (산하동) 
10	642-75-38747	매머드커피	4	김원	010-3693-7375	커피전문점	서울특별시 강남구 광평로47길 17 (수서동, 신동아아파트)
11	323-28-26898	맥도날드	3	황희태	010-2277-3957	패스트푸드	충청남도 아산시 남부로8번길 27-15 (방축동) 
12	914-73-29436	메가박스	15	김명희	010-7363-7558	형화관 운영업	광주광역시 동구 문화전당로 22 (남동) 
13	724-64-41131	배스킨라빈스	5	이수찬	010-5748-9879	아이스크림 판매	세종특별자치시 금남면 용포로 31
14	842-96-84221	버거킹	3	이수련	010-9618-9423	패스트푸드	서울특별시 강남구 선릉로10길 22-5 (개포동, 두일빌라)
15	313-23-86269	서브웨이	3	홍차영	010-5366-7118	샌드위치 제조 및 판매	전라남도 무안군 현경면 시목길 44-46 (현경면)
16	339-46-73634	스타벅스	4	장준우	010-1488-7515	커피숍	대구광역시 수성구 청수로3길 49 (중동) 
17	119-64-14346	신세계백화점	7	정소리	010-5273-3716	백화점	서울특별시 강남구 도곡로2길 42 (도곡동, 연립주택(8세대))
18	823-47-37223	아웃백	2	권서원	010-4616-2557	음식점	서울특별시 강남구 강남대로 482 (논현동)
