SERIAL	ID	PW	NAME	BIRTH	PHONE
1	user01	user0101!	윤팡열	2013-02-26	010-6580-1075
2	user02	user0102!	이한용	1991-07-09	010-6102-3110
3	user03	user0103!	김하로	1997-10-21	010-3606-6495
4	user04	user0104!	강민준	1987-10-07	010-8515-3572
5	user05	user0105!	김서준	2008-04-22	010-8633-8104
6	user06	user0106!	김예준	1998-01-28	010-5542-1897
7	user07	user0107!	강민규	2008-07-29	010-4384-1918
8	user08	user0108!	이도윤	1983-11-04	010-2056-9769
9	user09	user0109!	이시우	2006-12-25	010-4665-8163
10	user10	user0110!	최주원	1995-04-02	010-6324-1822
11	user11	user0111!	이지호	1991-08-03	010-5727-1734
12	user12	user0112!	김서윤	1988-04-23	010-1602-6079
13	user13	user0113!	이서연	1996-04-16	010-5774-4763
14	user14	user0114!	민서현	1988-10-29	010-8555-6977
15	user15	user0115!	이하은	2011-01-14	010-7121-4980
16	user16	user0116!	최은서	1991-09-08	010-3388-1991
17	user17	user0117!	지유진	1990-01-24	010-2181-5028
18	user18	user0118!	지우진	2011-06-21	010-7295-9814
19	user19	user0119!	김선우	2009-05-20	010-8231-7304
20	user20	user0120!	박민재	2009-08-20	010-9355-1440
